Frame,Time (s),Red,Green,Blue,Greyscale
441,0.882,15.64369965,10.03705502,4.774561882,11.10938168
442,0.884,15.65813065,10.0627594,4.764298439,11.12737942
443,0.886,15.69228077,10.09693527,4.792374611,11.16095448
444,0.888,15.72776413,10.13139915,4.814898491,11.19439983
445,0.89,15.75652885,10.15950298,4.840859413,11.2225256
446,0.892,15.79118156,10.17891312,4.88285923,11.24919319
447,0.894,15.80425835,10.19097519,4.901753426,11.26244926
448,0.896,15.81881905,10.204175,4.919013023,11.27645111
449,0.898,15.84575558,10.22359753,4.930167198,11.29684544
450,0.9,15.86431885,10.24189091,4.974748611,11.31840134
451,0.902,15.86992836,10.25499821,5.001506805,11.33103466
452,0.904,15.91865444,10.27248573,5.035839081,11.35969067
453,0.906,15.94130898,10.29455948,5.076781273,11.38424492
454,0.908,15.95498085,10.32112789,5.112862587,11.40790462
455,0.91,15.97787762,10.36803722,5.148464203,11.44646454
456,0.912,16.01276302,10.41702747,5.150756836,11.48546696
457,0.914,16.04418564,10.47700691,5.189718246,11.5346489
458,0.916,16.06976318,10.5094347,5.204854965,11.56310177
459,0.918,16.07702351,10.52890873,5.219956398,11.57859039
460,0.92,16.08856773,10.55238628,5.22297287,11.59596825
